group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-51;53556.5;56111.1;54828.84;57403.2;60441.24
Total;2017-52;53825.16;56409.26;55112.16;57716.38;63758
Total;2018-01;54037.88;56646.54;55337.08;57966.16;67186
Total;2018-02;54191.29;56818.63;55499.78;58147.76;65789
Total;2018-03;54283.05;56922.38;55597.5;58257.63;65011
Total;2018-04;54311.88;56955.99;55628.7;58293.68;62796.48
Total;2018-05;54277.49;56918.99;55593.01;58255.35;61718.22
Total;2018-06;54180.69;56812.29;55491.29;58143.61;61823.22
Total;2018-07;54023.37;56638.15;55325.61;57960.9;63141
Total;2018-08;53808.37;56400.07;55099.14;57711.08;63157
Total;2018-09;53539.51;56102.71;54816.11;57399.21;65891.14
Total;2018-10;53221.34;55751.84;54481.69;57031.71;65430.32
Total;2018-11;52859.2;55354.02;54101.82;56615.74;61276.02
Total;2018-12;52459.07;54916.54;53683.12;56159.27;58796
Total;2018-13;52027.4;54447.14;53232.69;55670.7;57688.18
Total;2018-14;51570.98;53953.98;52757.99;55158.86;56036
Total;2018-15;51096.92;53445.22;52266.67;54632.49;54277
Total;2018-16;50612.56;52928.88;51766.4;54099.93;52520
Total;2018-17;50124.89;52413.19;51264.78;53570.04;50027.32
Total;2018-18;49641.24;51905.61;50769.22;53050.37;49427
Total;2018-19;49168.53;51413.38;50286.78;52548.26;48728.46
Total;2018-20;48713.5;50943.15;49824.17;52070.38;48461.48
Total;2018-21;48282.44;50501.08;49387.61;51622.8;49109
Total;2018-22;47881.23;50092.75;48982.83;51210.92;48902
Total;2018-23;47515.66;49722.65;48614.98;50838.61;47597
Total;2018-24;47190.27;49395.44;48288.66;50510.55;47190
Total;2018-25;46909.34;49114.81;48007.86;50230.15;47942
Total;2018-26;46676.7;48883.71;47775.95;49999.89;49099
Total;2018-27;46495.35;48704.66;47595.73;49822.06;49138
Total;2018-28;46367.72;48579.58;47469.36;49698.33;47670
Total;2018-29;46295.52;48509.87;47398.39;49629.91;48706
Total;2018-30;46279.87;48496.32;47383.78;49617.44;49596
Total;2018-31;46321.18;48539.2;47425.87;49661.11;50507
Total;2018-32;46419.17;48638.23;47524.38;49760.64;49985
Total;2018-33;46572.91;48792.58;47678.44;49915.26;47166
Total;2018-34;46780.79;49000.84;47886.53;50123.67;47582
Total;2018-35;47040.47;49261.09;48146.51;50384.14;47003
Total;2018-36;47348.97;49570.74;48455.61;50694.29;47656
Total;2018-37;47702.6;49926.67;48810.41;51051.31;47611
Total;2018-38;48097.02;50325.13;49206.87;51451.74;48647
Total;2018-39;48527.23;50761.77;49640.31;51891.55;48543
Total;2018-40;48987.62;51231.6;50105.42;52366.09;50140
Total;2018-41;49472.09;51728.98;50596.34;52869.95;51121
Total;2018-42;49973.97;52247.73;51106.64;53397.2;49421
Total;2018-43;50486.26;52781.09;51629.42;53941.19;50173
Total;2018-44;51001.67;53321.71;52157.39;54494.57;51995
